Comment,Designator,Footprint,LCSC,Quantity
330,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
SMAJ58A,D1,D_SMA,,1
10k,R7,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
100nF,C1,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
Dec-,SW5,SW_PUSH-12mm,,1
Conn_01x01,J5,Banana_Cliff_FCR7350R_S16N-PC_Horizontal,,1
LM358DT,U5,DIP-8_W10.16mm,,1
Fuse,50mA1,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,,1
2N3904,Q1,TO-92_Inline,,1
4.7k,R14,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
10k,R5,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
Conn_01x02_Pin,J1,TestPoint_2Pads_Pitch5.08mm_Drill1.3mm,,1
1uF,C6,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
1uF,C11,C_Elec_5x5.8,,1
10uF/25v,C10,CP_Elec_8x10,,1
10k,R6,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
2N3904,Q2,TO-92_Inline,,1
Inc+,SW4,SW_PUSH-12mm,,1
4.7uH,L1,L_7.3x7.3_H4.5,,1
AP63203WU,U2,TSOT-23-6,,1
.1uF,C12,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
Conn_01x04_Pin,J2,PinHeader_1x04_P2.54mm_Vertical,,1
22uF,C3,CP_Elec_5x3,,1
10k,R4,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
Enter,SW3,SW_PUSH-12mm,,1
Reset,SW2,SW_Tactile_SKHH_Angled,,1
1k,R8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
IRF540N,Q3,TO-220-3_Vertical,,1
1uF,C8,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
1uF,C7,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
SANYOU_SRD_Form_C,K1,Relay_SPDT_SANYOU_SRD_Series_Form_C,,1
47uF/63v,C9,CP_Elec_8x10,,1
250k,RV1,Potentiometer_Bourns_3314G_Vertical,,1
22uF,C4,CP_Elec_5x3,,1
1N4742A/12v/1w,D4,D_DO-41_SOD81_P10.16mm_Horizontal,,1
Buzzer,BZ1,Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,,1
10uF,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
SANYOU_SRD_Form_C,K2,Relay_SPDT_SANYOU_SRD_Series_Form_C,,1
5.6k/0.5w,R12,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal,,1
1uF,C5,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,,1
1N4148,D2,D_DO-35_SOD27_P7.62mm_Horizontal,,1
Conn_01x01,J4,Banana_Cliff_FCR7350B_S16N-PC_Horizontal,,1
100Ω/1w,R11,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal,,1
ESP32-S3-WROOM-1,U3,ESP32-S3-WROOM-1,,1
Ag7200,U4,Ag7200,,1
10k,R13,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
USB_C_Receptacle_USB2.0_14P,J3,USB_C_Receptacle_XKB_U262-16XN-4BVC11,,1
1k,R10,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
1N4148,D3,D_DO-35_SOD27_P7.62mm_Horizontal,,1
SW_Wuerth_450301014042,SW1,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,,1
PC817,U6,DIP-4_W7.62mm,,1
1k,R9,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
TestPoint,TP4,TestPoint_Pad_D2.0mm,,1
TestPoint,TP2,TestPoint_Pad_D2.0mm,,1
5.1k,R3,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
TestPoint,TP11,TestPoint_Pad_D2.0mm,,1
5.1k,R2,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,,1
TestPoint,TP3,TestPoint_Pad_D2.0mm,,1
TestPoint,TP10,TestPoint_Pad_D2.0mm,,1
TestPoint,TP5,TestPoint_Pad_D2.0mm,,1
TestPoint,TP7,TestPoint_Pad_D2.0mm,,1
TestPoint,TP12,TestPoint_Pad_D2.0mm,,1
TestPoint,TP6,TestPoint_Pad_D2.0mm,,1
TestPoint,TP1,TestPoint_Pad_D2.0mm,,1
TestPoint,TP9,TestPoint_Pad_D2.0mm,,1
TestPoint,TP8,TestPoint_Pad_D2.0mm,,1
